Time resolution is 1 ps
Starting Automated ALU Regression...
TIME: 10000 | OP:  0 | A:  36 | B: 129 | RESULT:   165
TIME: 20000 | OP:  0 | A:   9 | B:  99 | RESULT:   108
TIME: 30000 | OP:  0 | A:  13 | B: 141 | RESULT:   154
TIME: 40000 | OP:  0 | A: 101 | B:  18 | RESULT:   119
TIME: 50000 | OP:  0 | A:   1 | B:  13 | RESULT:    14
TIME: 60000 | OP:  0 | A: 118 | B:  61 | RESULT:   179
TIME: 70000 | OP:  0 | A: 237 | B: 140 | RESULT:   377
TIME: 80000 | OP:  0 | A: 249 | B: 198 | RESULT:   447
TIME: 90000 | OP:  0 | A: 197 | B: 170 | RESULT:   367
TIME: 100000 | OP:  0 | A: 229 | B: 119 | RESULT:   348
TIME: 110000 | OP:  1 | A:  18 | B: 143 | RESULT: 65411
TIME: 120000 | OP:  1 | A: 242 | B: 206 | RESULT:    36
TIME: 130000 | OP:  1 | A: 232 | B: 197 | RESULT:    35
TIME: 140000 | OP:  1 | A:  92 | B: 189 | RESULT: 65439
TIME: 150000 | OP:  1 | A:  45 | B: 101 | RESULT: 65480
TIME: 160000 | OP:  1 | A:  99 | B:  10 | RESULT:    89
TIME: 170000 | OP:  1 | A: 128 | B:  32 | RESULT:    96
TIME: 180000 | OP:  1 | A: 170 | B: 157 | RESULT:    13
TIME: 190000 | OP:  1 | A: 150 | B:  19 | RESULT:   131
TIME: 200000 | OP:  1 | A:  13 | B:  83 | RESULT: 65466
TIME: 210000 | OP:  2 | A: 107 | B: 213 | RESULT: 22791
TIME: 220000 | OP:  2 | A:   2 | B: 174 | RESULT:   348
TIME: 230000 | OP:  2 | A:  29 | B: 207 | RESULT:  6003
TIME: 240000 | OP:  2 | A:  35 | B:  10 | RESULT:   350
TIME: 250000 | OP:  2 | A: 202 | B:  60 | RESULT: 12120
TIME: 260000 | OP:  2 | A: 242 | B: 138 | RESULT: 33396
TIME: 270000 | OP:  2 | A:  65 | B: 216 | RESULT: 14040
TIME: 280000 | OP:  2 | A: 120 | B: 137 | RESULT: 16440
